trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing
4cd95_00073,0.9317938849689972,0.9641592920353982,0.9652270210409746,0.8626799557032115,0.9378318584070796,0.6437054631828979,92.46719598770142,True,,,1,18eaa54849454ac4b4ccfdefabaeaad1,2022-08-23_18-07-14,1661245634,92.46719598770142,268243,booster,172.21.5.13,92.46719598770142,0,1,0.008356094360351562,73,8.0,31.53846153846154,1
4cd95_00079,0.9316093182303911,0.9643805309734513,0.9648074369189907,0.8627711376715361,0.9380530973451328,0.6460807600950119,91.93627715110779,True,,,1,63c25ea9256f4762b5c117c0a569fb59,2022-08-23_18-08-56,1661245736,91.93627715110779,268605,booster,172.21.5.13,91.93627715110779,0,1,0.01154184341430664,79,8.0,42.61538461538462,1
4cd95_00077,0.9316093182303911,0.9643805309734513,0.9648074369189907,0.8627711376715361,0.9380530973451328,0.6460807600950119,95.03953790664673,True,,,1,8df91fc6149b4fca91cb46c3cdccbf72,2022-08-23_18-08-20,1661245700,95.03953790664673,268482,booster,172.21.5.13,95.03953790664673,0,1,0.012998104095458984,77,8.0,38.92307692307693,1
4cd95_00043,0.9315361574668378,0.9632743362831858,0.9658385093167702,0.8560337178349601,0.9380530973451328,0.6365795724465558,110.99802303314209,True,,,1,b5f53f668b1f42599f27da4aa1a6bddf,2022-08-23_17-59-06,1661245146,110.99802303314209,266622,booster,172.21.5.13,110.99802303314209,0,1,0.013524532318115234,43,5.0,27.846153846153847,1
4cd95_00081,0.9314102564102564,0.9643805309734513,0.9645939367116618,0.8623589289665855,0.9380530973451328,0.6460807600950119,90.71426343917847,True,,,1,5fba9c9f63b04cd79e064c0ad590b1db,2022-08-23_18-09-41,1661245781,90.71426343917847,268727,booster,172.21.5.13,90.71426343917847,0,1,0.005682468414306641,81,8.0,46.30769230769231,1
4cd95_00083,0.9312112796411023,0.9643805309734513,0.9643805309734513,0.8621681415929203,0.9378318584070796,0.6460807600950119,93.3805820941925,True,,,1,94edf079e23c427a9dc9245372382bc6,2022-08-23_18-10-02,1661245802,93.3805820941925,268845,booster,172.21.5.13,93.3805820941925,0,1,0.007605075836181641,83,8.0,50.0,1
4cd95_00041,0.9306803594351734,0.9623893805309734,0.9658081705150977,0.8543516873889876,0.9371681415929204,0.6294536817102138,112.14615154266357,True,,,1,863a7c9fafb34cf2a8094df7c008a572,2022-08-23_17-58-00,1661245080,112.14615154266357,266490,booster,172.21.5.13,112.14615154266357,0,1,0.007865428924560547,41,5.0,24.153846153846153,1
4cd95_00121,0.9305945945945946,0.952212389380531,0.9761850759809481,0.8475844862780676,0.9389380530973451,0.5486935866983373,79.7699327468872,True,,,1,0c5b9d8d6c5f47de863b782fc190eb81,2022-08-23_18-19-44,1661246384,79.7699327468872,271020,booster,172.21.5.13,79.7699327468872,0,1,0.014185905456542969,121,14.0,16.76923076923077,1
4cd95_00067,0.9302425413178794,0.9588495575221239,0.9689246590655042,0.85177733065057,0.9362831858407079,0.5961995249406176,90.22746300697327,True,,,1,73103dfd54ab40b28f21f69344952fa6,2022-08-23_18-05-31,1661245531,90.22746300697327,267908,booster,172.21.5.13,90.22746300697327,0,1,0.00901174545288086,67,8.0,20.461538461538463,1
4cd95_00120,0.9299459459459459,0.9515486725663717,0.9761688606445755,0.8456650022696324,0.9382743362831858,0.5415676959619953,78.33861565589905,True,,,1,9b184db230d1460ca876621c50545b97,2022-08-23_18-19-30,1661246370,78.33861565589905,270960,booster,172.21.5.13,78.33861565589905,0,1,0.009132862091064453,120,14.0,16.76923076923077,0
4cd95_00047,0.929745889387145,0.9632743362831858,0.9639141022802745,0.8547708656187735,0.9360619469026549,0.6365795724465558,113.87466883659363,True,,,1,ad17a4bbf77b4dfeaa6c6e6b99123adc,2022-08-23_18-00-01,1661245201,113.87466883659363,266827,booster,172.21.5.13,113.87466883659363,0,1,0.005662441253662109,47,5.0,35.23076923076923,1
4cd95_00045,0.9297308842375054,0.9630530973451328,0.9641196013289036,0.8544850498338871,0.9360619469026549,0.6342042755344418,113.76036977767944,True,,,1,a633de678ffd4faaaa3681db7edf3492,2022-08-23_17-59-42,1661245182,113.76036977767944,266713,booster,172.21.5.13,113.76036977767944,0,1,0.004645824432373047,45,5.0,31.53846153846154,1
4cd95_00053,0.9293489861259339,0.9632743362831858,0.9634874972339013,0.8541712768311573,0.9360619469026549,0.6365795724465558,109.38668274879456,True,,,1,8f1cfced18e54577a7dc597b9b9b90f5,2022-08-23_18-01-43,1661245303,109.38668274879456,267085,booster,172.21.5.13,109.38668274879456,0,1,0.006578683853149414,53,5.0,46.30769230769231,1
4cd95_00049,0.9293489861259339,0.9632743362831858,0.9634874972339013,0.8541712768311573,0.9360619469026549,0.6365795724465558,112.58109521865845,True,,,1,3bab87896fc045c6ac4998c2d493343a,2022-08-23_18-00-52,1661245252,112.58109521865845,266922,booster,172.21.5.13,112.58109521865845,0,1,0.004414796829223633,49,5.0,38.92307692307693,1
4cd95_00051,0.9293489861259339,0.9632743362831858,0.9634874972339013,0.8541712768311573,0.9360619469026549,0.6365795724465558,116.87542152404785,True,,,1,8e343e9fb9754117ad56aaef70559230,2022-08-23_18-01-48,1661245308,116.87542152404785,267047,booster,172.21.5.13,116.87542152404785,0,1,0.01006627082824707,51,5.0,42.61538461538462,1
4cd95_00055,0.9291506615450278,0.9632743362831858,0.9632743362831858,0.8539823008849557,0.9358407079646017,0.6365795724465558,110.54757976531982,True,,,1,ac73d553c9ef410797bf8cd8a32c8a36,2022-08-23_18-02-51,1661245371,110.54757976531982,267239,booster,172.21.5.13,110.54757976531982,0,1,0.00945138931274414,55,5.0,50.0,1
4cd95_00015,0.9290598290598291,0.9619469026548673,0.9645075421472937,0.8540372670807453,0.9347345132743363,0.6223277909738717,165.73081946372986,True,,,1,75f6c8b1d49c4e28902bac22ebfac1cd,2022-08-23_17-49-02,1661244542,165.73081946372986,264787,booster,172.21.5.13,165.73081946372986,0,1,0.004117727279663086,15,2.0,27.846153846153847,1
4cd95_00013,0.9286019666524156,0.9610619469026549,0.9649044868947134,0.8527321190581963,0.9345132743362832,0.6152019002375297,170.89352869987488,True,,,1,64207264a7e248358936dad30d61baf3,2022-08-23_17-48-25,1661244505,170.89352869987488,264663,booster,172.21.5.13,170.89352869987488,0,1,0.004209041595458984,13,2.0,24.153846153846153,1
